,instance_type,linux_price,windows_price,region
0,a1.medium,$0.0084 per Hour,N/A*,US East (N. Virginia)
1,a1.large,$0.0209 per Hour,N/A*,US East (N. Virginia)
2,a1.xlarge,$0.0336 per Hour,N/A*,US East (N. Virginia)
3,a1.2xlarge,$0.0671 per Hour,N/A*,US East (N. Virginia)
4,a1.4xlarge,$0.1343 per Hour,N/A*,US East (N. Virginia)
5,a1.metal,$0.1343 per Hour,N/A*,US East (N. Virginia)
6,t2.micro,$0.0035 per Hour,$0.0081 per Hour,US East (N. Virginia)
7,t2.small,$0.0069 per Hour,$0.0159 per Hour,US East (N. Virginia)
8,t2.medium,$0.0139 per Hour,$0.0319 per Hour,US East (N. Virginia)
9,t2.large,$0.0278 per Hour,$0.0558 per Hour,US East (N. Virginia)
10,t2.xlarge,$0.0557 per Hour,$0.0967 per Hour,US East (N. Virginia)
11,t2.2xlarge,$0.1114 per Hour,$0.1734 per Hour,US East (N. Virginia)
12,t3.nano,$0.0016 per Hour,$0.0062 per Hour,US East (N. Virginia)
13,t3.micro,$0.0031 per Hour,$0.0123 per Hour,US East (N. Virginia)
14,t3.small,$0.0062 per Hour,$0.0246 per Hour,US East (N. Virginia)
15,t3.medium,$0.0125 per Hour,$0.0309 per Hour,US East (N. Virginia)
16,t3.large,$0.025 per Hour,$0.0526 per Hour,US East (N. Virginia)
17,t3.xlarge,$0.0499 per Hour,$0.1235 per Hour,US East (N. Virginia)
18,t3.2xlarge,$0.0998 per Hour,$0.247 per Hour,US East (N. Virginia)
19,t3a.2xlarge,$0.0902 per Hour,$0.2374 per Hour,US East (N. Virginia)
20,t3a.large,$0.0226 per Hour,$0.0502 per Hour,US East (N. Virginia)
21,t3a.medium,$0.0113 per Hour,$0.0297 per Hour,US East (N. Virginia)
22,t3a.micro,$0.0028 per Hour,$0.012 per Hour,US East (N. Virginia)
23,t3a.nano,$0.0015 per Hour,$0.006 per Hour,US East (N. Virginia)
24,t3a.small,$0.006 per Hour,$0.024 per Hour,US East (N. Virginia)
25,t3a.xlarge,$0.0451 per Hour,$0.1187 per Hour,US East (N. Virginia)
26,m3.medium,$0.0067 per Hour,$0.0697 per Hour,US East (N. Virginia)
27,m3.large,$0.0308 per Hour,$0.1568 per Hour,US East (N. Virginia)
28,m3.xlarge,$0.0617 per Hour,$0.3137 per Hour,US East (N. Virginia)
29,m3.2xlarge,$0.1234 per Hour,$0.6274 per Hour,US East (N. Virginia)
30,m4.large,$0.0331 per Hour,$0.1244 per Hour,US East (N. Virginia)
31,m4.xlarge,$0.0671 per Hour,$0.2488 per Hour,US East (N. Virginia)
32,m4.2xlarge,$0.134 per Hour,$0.4975 per Hour,US East (N. Virginia)
33,m4.4xlarge,$0.3163 per Hour,$0.9951 per Hour,US East (N. Virginia)
34,m4.10xlarge,$0.7118 per Hour,$2.4877 per Hour,US East (N. Virginia)
35,m4.16xlarge,$0.9571 per Hour,$3.8099 per Hour,US East (N. Virginia)
36,m5.large,$0.034 per Hour,$0.126 per Hour,US East (N. Virginia)
37,m5.xlarge,$0.0797 per Hour,$0.252 per Hour,US East (N. Virginia)
38,m5.2xlarge,$0.157 per Hour,$0.504 per Hour,US East (N. Virginia)
39,m5.4xlarge,$0.3349 per Hour,$1.0081 per Hour,US East (N. Virginia)
40,m5.8xlarge,$0.5459 per Hour,$2.0161 per Hour,US East (N. Virginia)
41,m5.12xlarge,$0.823 per Hour,$3.0242 per Hour,US East (N. Virginia)
42,m5.16xlarge,$1.1183 per Hour,$4.0322 per Hour,US East (N. Virginia)
43,m5.24xlarge,$1.6338 per Hour,$6.0483 per Hour,US East (N. Virginia)
44,m5ad.large,$0.0341 per Hour,$0.126 per Hour,US East (N. Virginia)
45,m5ad.xlarge,$0.0708 per Hour,$0.252 per Hour,US East (N. Virginia)
46,m5ad.2xlarge,$0.136 per Hour,$0.504 per Hour,US East (N. Virginia)
47,m5ad.4xlarge,$0.2721 per Hour,$1.0081 per Hour,US East (N. Virginia)
48,m5ad.8xlarge,N/A*,N/A*,US East (N. Virginia)
49,m5ad.12xlarge,$0.8162 per Hour,$3.0242 per Hour,US East (N. Virginia)
50,m5ad.16xlarge,N/A*,N/A*,US East (N. Virginia)
51,m5ad.24xlarge,$1.6323 per Hour,$6.0483 per Hour,US East (N. Virginia)
52,m5d.large,$0.034 per Hour,$0.126 per Hour,US East (N. Virginia)
53,m5d.xlarge,$0.0731 per Hour,$0.252 per Hour,US East (N. Virginia)
54,m5d.2xlarge,$0.1553 per Hour,$0.504 per Hour,US East (N. Virginia)
55,m5d.4xlarge,$0.2776 per Hour,$1.0081 per Hour,US East (N. Virginia)
56,m5d.8xlarge,$0.5514 per Hour,$2.0161 per Hour,US East (N. Virginia)
57,m5d.12xlarge,$0.8162 per Hour,$3.0242 per Hour,US East (N. Virginia)
58,m5d.16xlarge,$1.0882 per Hour,$4.0322 per Hour,US East (N. Virginia)
59,m5d.24xlarge,$1.6323 per Hour,$6.0483 per Hour,US East (N. Virginia)
60,m5n.large,$0.034 per Hour,$0.126 per Hour,US East (N. Virginia)
61,m5n.xlarge,$0.0752 per Hour,$0.252 per Hour,US East (N. Virginia)
62,m5n.2xlarge,$0.1539 per Hour,$0.504 per Hour,US East (N. Virginia)
63,m5n.4xlarge,$0.2757 per Hour,$1.0081 per Hour,US East (N. Virginia)
64,m5n.8xlarge,$0.5441 per Hour,$2.0161 per Hour,US East (N. Virginia)
65,m5n.12xlarge,$0.8162 per Hour,$3.0242 per Hour,US East (N. Virginia)
66,m5n.16xlarge,$1.0882 per Hour,$4.0322 per Hour,US East (N. Virginia)
67,m5n.24xlarge,$1.6323 per Hour,$6.0483 per Hour,US East (N. Virginia)
68,m5dn.large,$0.034 per Hour,$0.126 per Hour,US East (N. Virginia)
69,m5dn.xlarge,$0.0691 per Hour,$0.252 per Hour,US East (N. Virginia)
70,m5dn.2xlarge,$0.1499 per Hour,$0.504 per Hour,US East (N. Virginia)
71,m5dn.4xlarge,$0.2721 per Hour,$1.0081 per Hour,US East (N. Virginia)
72,m5dn.8xlarge,$0.5441 per Hour,$2.0161 per Hour,US East (N. Virginia)
73,m5dn.12xlarge,$0.8162 per Hour,$3.0242 per Hour,US East (N. Virginia)
74,m5dn.16xlarge,$1.0882 per Hour,$4.0322 per Hour,US East (N. Virginia)
75,m5dn.24xlarge,$1.6323 per Hour,$6.0483 per Hour,US East (N. Virginia)
76,m5a.large,$0.0358 per Hour,$0.126 per Hour,US East (N. Virginia)
77,m5a.xlarge,$0.0833 per Hour,$0.252 per Hour,US East (N. Virginia)
78,m5a.2xlarge,$0.144 per Hour,$0.504 per Hour,US East (N. Virginia)
79,m5a.4xlarge,$0.2919 per Hour,$1.0081 per Hour,US East (N. Virginia)
80,m5a.8xlarge,$0.5441 per Hour,$2.0161 per Hour,US East (N. Virginia)
81,m5a.12xlarge,$0.8162 per Hour,$3.0242 per Hour,US East (N. Virginia)
82,m5a.16xlarge,$1.0882 per Hour,$4.0322 per Hour,US East (N. Virginia)
83,m5a.24xlarge,$1.6323 per Hour,$6.0483 per Hour,US East (N. Virginia)
84,m6g.medium,$0.0179 per Hour,N/A*,US East (N. Virginia)
85,m6g.large,$0.0357 per Hour,N/A*,US East (N. Virginia)
86,m6g.xlarge,$0.0714 per Hour,N/A*,US East (N. Virginia)
87,m6g.2xlarge,$0.1428 per Hour,N/A*,US East (N. Virginia)
88,m6g.4xlarge,$0.2857 per Hour,N/A*,US East (N. Virginia)
89,m6g.8xlarge,$0.5713 per Hour,N/A*,US East (N. Virginia)
90,m6g.12xlarge,$0.857 per Hour,N/A*,US East (N. Virginia)
91,m6g.16xlarge,$1.1426 per Hour,N/A*,US East (N. Virginia)
92,m6g.metal,$1.7139 per Hour,N/A*,US East (N. Virginia)
93,m1.small,$0.0044 per Hour,$0.0354 per Hour,US East (N. Virginia)
94,m1.medium,$0.0087 per Hour,$0.0707 per Hour,US East (N. Virginia)
95,m1.large,$0.0175 per Hour,$0.1415 per Hour,US East (N. Virginia)
96,m1.xlarge,$0.035 per Hour,$0.283 per Hour,US East (N. Virginia)
97,c5.large,$0.0324 per Hour,$0.1244 per Hour,US East (N. Virginia)
98,c5.xlarge,$0.083 per Hour,$0.2488 per Hour,US East (N. Virginia)
99,c5.2xlarge,$0.1492 per Hour,$0.4975 per Hour,US East (N. Virginia)
100,c5.4xlarge,$0.2953 per Hour,$0.9951 per Hour,US East (N. Virginia)
101,c5.9xlarge,$0.6328 per Hour,$2.239 per Hour,US East (N. Virginia)
102,c5.12xlarge,$0.7773 per Hour,$2.9853 per Hour,US East (N. Virginia)
103,c5.18xlarge,$1.1659 per Hour,$4.4779 per Hour,US East (N. Virginia)
104,c5.24xlarge,$1.5546 per Hour,$5.9706 per Hour,US East (N. Virginia)
105,c5.metal,$1.5546 per Hour,$5.9706 per Hour,US East (N. Virginia)
106,c5d.large,$0.0324 per Hour,$0.1244 per Hour,US East (N. Virginia)
107,c5d.xlarge,$0.0653 per Hour,$0.2488 per Hour,US East (N. Virginia)
108,c5d.2xlarge,$0.1328 per Hour,$0.4975 per Hour,US East (N. Virginia)
109,c5d.4xlarge,$0.2954 per Hour,$0.9951 per Hour,US East (N. Virginia)
110,c5d.9xlarge,$0.7192 per Hour,$2.239 per Hour,US East (N. Virginia)
111,c5d.12xlarge,$1.0057 per Hour,$2.9853 per Hour,US East (N. Virginia)
112,c5d.18xlarge,$1.1784 per Hour,$4.4779 per Hour,US East (N. Virginia)
113,c5d.24xlarge,$1.5546 per Hour,$5.9706 per Hour,US East (N. Virginia)
114,c5d.metal,$1.5546 per Hour,$5.9706 per Hour,US East (N. Virginia)
115,c5n.large,$0.0324 per Hour,$0.1244 per Hour,US East (N. Virginia)
116,c5n.xlarge,$0.0654 per Hour,$0.2488 per Hour,US East (N. Virginia)
117,c5n.2xlarge,$0.1511 per Hour,$0.4975 per Hour,US East (N. Virginia)
118,c5n.4xlarge,$0.273 per Hour,$0.9654 per Hour,US East (N. Virginia)
119,c5n.9xlarge,$0.7788 per Hour,$2.239 per Hour,US East (N. Virginia)
120,c5n.18xlarge,$1.1659 per Hour,$4.4779 per Hour,US East (N. Virginia)
121,c5n.metal,$1.5546 per Hour,$4.8666 per Hour,US East (N. Virginia)
122,c3.large,$0.0294 per Hour,$0.1124 per Hour,US East (N. Virginia)
123,c3.xlarge,$0.0588 per Hour,$0.2248 per Hour,US East (N. Virginia)
124,c3.2xlarge,$0.125 per Hour,$0.4495 per Hour,US East (N. Virginia)
125,c3.4xlarge,$0.2538 per Hour,$0.899 per Hour,US East (N. Virginia)
126,c3.8xlarge,$0.4762 per Hour,$1.798 per Hour,US East (N. Virginia)
127,c4.large,$0.0308 per Hour,$0.1228 per Hour,US East (N. Virginia)
128,c4.xlarge,$0.0617 per Hour,$0.2457 per Hour,US East (N. Virginia)
129,c4.2xlarge,$0.1244 per Hour,$0.4914 per Hour,US East (N. Virginia)
130,c4.4xlarge,$0.281 per Hour,$0.9828 per Hour,US East (N. Virginia)
131,c4.8xlarge,$0.503 per Hour,$1.9935 per Hour,US East (N. Virginia)
132,d2.xlarge,$0.207 per Hour,$0.338 per Hour,US East (N. Virginia)
133,d2.2xlarge,$0.414 per Hour,$0.635 per Hour,US East (N. Virginia)
134,d2.4xlarge,$0.828 per Hour,$1.13 per Hour,US East (N. Virginia)
135,d2.8xlarge,$1.656 per Hour,$2.334 per Hour,US East (N. Virginia)
136,h1.2xlarge,$0.1404 per Hour,$0.5084 per Hour,US East (N. Virginia)
137,h1.4xlarge,$0.2808 per Hour,$1.0168 per Hour,US East (N. Virginia)
138,h1.8xlarge,$0.5616 per Hour,$2.0336 per Hour,US East (N. Virginia)
139,h1.16xlarge,$1.1232 per Hour,$4.0672 per Hour,US East (N. Virginia)
140,i2.xlarge,$0.2559 per Hour,$0.3759 per Hour,US East (N. Virginia)
141,i2.2xlarge,$0.5115 per Hour,$0.7525 per Hour,US East (N. Virginia)
142,i2.4xlarge,$1.023 per Hour,$1.504 per Hour,US East (N. Virginia)
143,i2.8xlarge,$2.046 per Hour,$3.008 per Hour,US East (N. Virginia)
144,i3.large,$0.0468 per Hour,$0.1388 per Hour,US East (N. Virginia)
145,i3.xlarge,$0.1095 per Hour,$0.2776 per Hour,US East (N. Virginia)
146,i3.2xlarge,$0.2196 per Hour,$0.5552 per Hour,US East (N. Virginia)
147,i3.4xlarge,$0.4649 per Hour,$1.1104 per Hour,US East (N. Virginia)
148,i3.8xlarge,$0.7488 per Hour,$2.2208 per Hour,US East (N. Virginia)
149,i3.16xlarge,$1.4976 per Hour,$4.4416 per Hour,US East (N. Virginia)
150,i3.metal,$1.4976 per Hour,$4.4416 per Hour,US East (N. Virginia)
151,i3en.large,$0.0678 per Hour,$0.1598 per Hour,US East (N. Virginia)
152,i3en.xlarge,$0.1442 per Hour,$0.3196 per Hour,US East (N. Virginia)
153,i3en.2xlarge,$0.2712 per Hour,$0.6392 per Hour,US East (N. Virginia)
154,i3en.3xlarge,$0.4068 per Hour,$0.9588 per Hour,US East (N. Virginia)
155,i3en.6xlarge,$0.8136 per Hour,$1.9176 per Hour,US East (N. Virginia)
156,i3en.12xlarge,$1.6272 per Hour,$3.8352 per Hour,US East (N. Virginia)
157,i3en.24xlarge,$3.2544 per Hour,$7.6704 per Hour,US East (N. Virginia)
158,i3en.metal,$3.2544 per Hour,$7.6704 per Hour,US East (N. Virginia)
159,c1.medium,$0.013 per Hour,$0.093 per Hour,US East (N. Virginia)
160,c1.xlarge,$0.1337 per Hour,$0.372 per Hour,US East (N. Virginia)
161,g2.2xlarge,$0.195 per Hour,$0.312 per Hour,US East (N. Virginia)
162,g2.8xlarge,$0.78 per Hour,$1.058 per Hour,US East (N. Virginia)
