instance_type,linux_price,windows_price,region
a1.medium,$0.0084 per Hour,N/A*,US East (N. Virginia)
a1.large,$0.0168 per Hour,N/A*,US East (N. Virginia)
a1.xlarge,$0.0336 per Hour,N/A*,US East (N. Virginia)
a1.2xlarge,$0.0671 per Hour,N/A*,US East (N. Virginia)
a1.4xlarge,$0.1343 per Hour,N/A*,US East (N. Virginia)
a1.metal,$0.1343 per Hour,N/A*,US East (N. Virginia)
t2.micro,$0.0035 per Hour,$0.0081 per Hour,US East (N. Virginia)
t2.small,$0.0069 per Hour,$0.0159 per Hour,US East (N. Virginia)
t2.medium,$0.0139 per Hour,$0.0319 per Hour,US East (N. Virginia)
t2.large,$0.0278 per Hour,$0.0558 per Hour,US East (N. Virginia)
t2.xlarge,$0.0557 per Hour,$0.0967 per Hour,US East (N. Virginia)
t2.2xlarge,$0.1114 per Hour,$0.1734 per Hour,US East (N. Virginia)
t3.nano,$0.0016 per Hour,$0.0062 per Hour,US East (N. Virginia)
t3.micro,$0.0031 per Hour,$0.0123 per Hour,US East (N. Virginia)
t3.small,$0.0062 per Hour,$0.0246 per Hour,US East (N. Virginia)
t3.medium,$0.0125 per Hour,$0.0309 per Hour,US East (N. Virginia)
t3.large,$0.025 per Hour,$0.0526 per Hour,US East (N. Virginia)
t3.xlarge,$0.0499 per Hour,$0.1235 per Hour,US East (N. Virginia)
t3.2xlarge,$0.0998 per Hour,$0.247 per Hour,US East (N. Virginia)
t3a.2xlarge,$0.0902 per Hour,$0.2374 per Hour,US East (N. Virginia)
t3a.large,$0.0226 per Hour,$0.0502 per Hour,US East (N. Virginia)
t3a.medium,$0.0113 per Hour,$0.0297 per Hour,US East (N. Virginia)
t3a.micro,$0.0028 per Hour,$0.012 per Hour,US East (N. Virginia)
t3a.nano,$0.0014 per Hour,$0.006 per Hour,US East (N. Virginia)
t3a.small,$0.0057 per Hour,$0.024 per Hour,US East (N. Virginia)
t3a.xlarge,$0.0451 per Hour,$0.1187 per Hour,US East (N. Virginia)
m3.medium,$0.0067 per Hour,$0.0697 per Hour,US East (N. Virginia)
m3.large,$0.0308 per Hour,$0.1568 per Hour,US East (N. Virginia)
m3.xlarge,$0.0617 per Hour,$0.3137 per Hour,US East (N. Virginia)
m3.2xlarge,$0.1234 per Hour,$0.6274 per Hour,US East (N. Virginia)
m4.large,$0.0325 per Hour,$0.1244 per Hour,US East (N. Virginia)
m4.xlarge,$0.0694 per Hour,$0.2488 per Hour,US East (N. Virginia)
m4.2xlarge,$0.1394 per Hour,$0.4975 per Hour,US East (N. Virginia)
m4.4xlarge,$0.3273 per Hour,$0.9951 per Hour,US East (N. Virginia)
m4.10xlarge,$0.6782 per Hour,$2.4877 per Hour,US East (N. Virginia)
m4.16xlarge,$0.8981 per Hour,$3.8099 per Hour,US East (N. Virginia)
m5.large,$0.0397 per Hour,$0.126 per Hour,US East (N. Virginia)
m5.xlarge,$0.0845 per Hour,$0.252 per Hour,US East (N. Virginia)
m5.2xlarge,$0.1686 per Hour,$0.504 per Hour,US East (N. Virginia)
m5.4xlarge,$0.2963 per Hour,$1.0081 per Hour,US East (N. Virginia)
m5.8xlarge,$0.5441 per Hour,$2.0161 per Hour,US East (N. Virginia)
m5.12xlarge,$0.8162 per Hour,$3.0242 per Hour,US East (N. Virginia)
m5.16xlarge,$1.0882 per Hour,$4.0322 per Hour,US East (N. Virginia)
m5.24xlarge,$1.6323 per Hour,$6.0483 per Hour,US East (N. Virginia)
m5ad.large,$0.034 per Hour,$0.126 per Hour,US East (N. Virginia)
m5ad.xlarge,$0.0687 per Hour,$0.252 per Hour,US East (N. Virginia)
m5ad.2xlarge,$0.136 per Hour,$0.504 per Hour,US East (N. Virginia)
m5ad.4xlarge,$0.2721 per Hour,$1.0081 per Hour,US East (N. Virginia)
